_init,"[('0x8066ea4', '0x80670ae', 'OPENSSL_cpuid_setup', 'local_function', 'function'), ('0x804c050', '0x804c054', '__x86.get_pc_thunk.bx', 'local_function', 'function'), ('0x804a820', '0x804a848', '_init', 'local_function', 'function'), ('0x804b530', '0x804b536', '__gmon_start__', 'local_function', 'function')]"
cipher_generic_gettable_params,"[('UNKNOWN', -1)]"
cipher_generic_get_params,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function'), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x806c2a6', '0x806c2d0', 'OSSL_PARAM_set_uint', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function'), ('0x806c3c0', '0x806c3ea', 'OSSL_PARAM_set_ulong', 'local_function', 'function'), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function'), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function'), ('0x80bd7e2', '0x80bda80', 'cipher_generic_get_params', 'local_function', 'function')]"
cipher_generic_gettable_ctx_params,"[('UNKNOWN', -1)]"
cipher_generic_settable_ctx_params,"[('UNKNOWN', -1)]"
cipher_aead_gettable_ctx_params,"[('UNKNOWN', -1)]"
cipher_aead_settable_ctx_params,"[('UNKNOWN', -1)]"
cipher_generic_init_internal,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bdad8', '0x80bdbf5', 'cipher_generic_init_internal', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bdad8', '0x80bdbf5', 'cipher_generic_init_internal', 'local_function', 'function'), ('0x80bdad8', '0x80bdbf5', 'cipher_generic_init_internal', 'local_function', 'function'), ('0x80bdad8', '0x80bdbf5', 'cipher_generic_init_internal', 'local_function', 'function'), ('0x80bdad8', '0x80bdbf5', 'cipher_generic_init_internal', 'local_function', 'function')]"
cipher_generic_einit,"[('UNKNOWN', -1)]"
cipher_generic_dinit,"[('UNKNOWN', -1)]"
cipher_generic_block_update,"[('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function'), ('0x80bdc63', '0x80bdf89', 'cipher_generic_block_update', 'local_function', 'function')]"
cipher_generic_block_final,"[('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bdf89', '0x80be310', 'cipher_generic_block_final', 'local_function', 'function')]"
cipher_generic_stream_update,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be310', '0x80be3fd', 'cipher_generic_stream_update', 'local_function', 'function'), ('0x80be310', '0x80be3fd', 'cipher_generic_stream_update', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80be310', '0x80be3fd', 'cipher_generic_stream_update', 'local_function', 'function')]"
cipher_generic_stream_final,[]
cipher_generic_cipher,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be410', '0x80be4fd', 'cipher_generic_cipher', 'local_function', 'function'), ('0x80be410', '0x80be4fd', 'cipher_generic_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80be410', '0x80be4fd', 'cipher_generic_cipher', 'local_function', 'function')]"
cipher_generic_get_ctx_params,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('0x80be4fd', '0x80be7df', 'cipher_generic_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1)]"
cipher_generic_set_ctx_params,"[('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function'), ('0x80be7df', '0x80be9aa', 'cipher_generic_set_ctx_params', 'local_function', 'function')]"
cipher_generic_initiv,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be9aa', '0x80bea65', 'cipher_generic_initiv', 'local_function', 'function'), ('0x80be9aa', '0x80bea65', 'cipher_generic_initiv', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80be9aa', '0x80bea65', 'cipher_generic_initiv', 'local_function', 'function')]"
cipher_generic_initkey,"[('0x80bea65', '0x80beae6', 'cipher_generic_initkey', 'local_function', 'function')]"
cipher_hw_generic_cbc,"[('0x80beae6', '0x80bebd0', 'cipher_hw_generic_cbc', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80beae6', '0x80bebd0', 'cipher_hw_generic_cbc', 'local_function', 'function'), ('0x8153122', '0x815339f', 'CRYPTO_cbc128_decrypt', 'local_function', 'function'), ('0x80beae6', '0x80bebd0', 'cipher_hw_generic_cbc', 'local_function', 'function'), ('0x8152fd7', '0x8153122', 'CRYPTO_cbc128_encrypt', 'local_function', 'function')]"
cipher_hw_generic_ecb,"[('0x80bebd0', '0x80bec41', 'cipher_hw_generic_ecb', 'local_function', 'function'), ('0x80bebd0', '0x80bec41', 'cipher_hw_generic_ecb', 'local_function', 'function'), ('0x80bebd0', '0x80bec41', 'cipher_hw_generic_ecb', 'local_function', 'function')]"
cipher_hw_generic_ofb128,"[('UNKNOWN', -1), ('0x815a27d', '0x815a398', 'CRYPTO_ofb128_encrypt', 'local_function', 'function')]"
cipher_hw_generic_cfb128,"[('UNKNOWN', -1), ('0x8154475', '0x81546fe', 'CRYPTO_cfb128_encrypt', 'local_function', 'function')]"
cipher_hw_generic_cfb8,"[('0x81549d6', '0x8154a34', 'CRYPTO_cfb128_8_encrypt', 'local_function', 'function'), ('UNKNOWN', -1)]"
cipher_hw_generic_cfb1,"[('0x81548ec', '0x81549d6', 'CRYPTO_cfb128_1_encrypt', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bedb5', '0x80bef37', 'cipher_hw_generic_cfb1', 'local_function', 'function'), ('0x80bedb5', '0x80bef37', 'cipher_hw_generic_cfb1', 'local_function', 'function'), ('0x80bedb5', '0x80bef37', 'cipher_hw_generic_cfb1', 'local_function', 'function'), ('0x80bedb5', '0x80bef37', 'cipher_hw_generic_cfb1', 'local_function', 'function')]"
cipher_hw_generic_ctr,"[('UNKNOWN', -1), ('0x8154b03', '0x8154c3b', 'CRYPTO_ctr128_encrypt', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bef37', '0x80bf003', 'cipher_hw_generic_ctr', 'local_function', 'function'), ('0x80bef37', '0x80bf003', 'cipher_hw_generic_ctr', 'local_function', 'function')]"
cipher_hw_chunked_cbc,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf003', '0x80bf087', 'cipher_hw_chunked_cbc', 'local_function', 'function'), ('0x80bf003', '0x80bf087', 'cipher_hw_chunked_cbc', 'local_function', 'function')]"
cipher_hw_chunked_cfb8,"[('UNKNOWN', -1), ('0x80bf087', '0x80bf10b', 'cipher_hw_chunked_cfb8', 'local_function', 'function'), ('0x80bf087', '0x80bf10b', 'cipher_hw_chunked_cfb8', 'local_function', 'function'), ('0x80bf087', '0x80bf10b', 'cipher_hw_chunked_cfb8', 'local_function', 'function'), ('0x80bed32', '0x80bedb5', 'cipher_hw_generic_cfb8', 'local_function', 'function')]"
cipher_hw_chunked_cfb128,"[('0x80bf10b', '0x80bf18f', 'cipher_hw_chunked_cfb128', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bf10b', '0x80bf18f', 'cipher_hw_chunked_cfb128', 'local_function', 'function'), ('0x80becaf', '0x80bed32', 'cipher_hw_generic_cfb128', 'local_function', 'function'), ('0x80bf10b', '0x80bf18f', 'cipher_hw_chunked_cfb128', 'local_function', 'function')]"
cipher_hw_chunked_ofb128,"[('0x80bf18f', '0x80bf213', 'cipher_hw_chunked_ofb128', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bec41', '0x80becaf', 'cipher_hw_generic_ofb128', 'local_function', 'function'), ('0x80bf18f', '0x80bf213', 'cipher_hw_chunked_ofb128', 'local_function', 'function')]"
gcm_initctx,[]
gcm_init,"[('UNKNOWN', -1), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function'), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function'), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function'), ('0x80bf27b', '0x80bf3ce', 'gcm_init', 'local_function', 'function')]"
gcm_einit,"[('UNKNOWN', -1)]"
gcm_dinit,"[('UNKNOWN', -1)]"
gcm_get_ctx_params,"[('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function'), ('0x80bf43c', '0x80bf890', 'gcm_get_ctx_params', 'local_function', 'function')]"
gcm_set_ctx_params,"[('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function'), ('0x80bf890', '0x80bfd08', 'gcm_set_ctx_params', 'local_function', 'function')]"
gcm_stream_update,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bfd08', '0x80bfdee', 'gcm_stream_update', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bfd08', '0x80bfdee', 'gcm_stream_update', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bfd08', '0x80bfdee', 'gcm_stream_update', 'local_function', 'function')]"
gcm_stream_final,"[('0x80bfdee', '0x80bfe43', 'gcm_stream_final', 'local_function', 'function'), ('0x80bfdee', '0x80bfe43', 'gcm_stream_final', 'local_function', 'function'), ('UNKNOWN', -1)]"
gcm_cipher,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bfe43', '0x80bfef0', 'gcm_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bfe43', '0x80bfef0', 'gcm_cipher', 'local_function', 'function'), ('0x80bfe43', '0x80bfef0', 'gcm_cipher', 'local_function', 'function')]"
gcm_iv_generate,"[('0x80bfef0', '0x80bff81', 'gcm_iv_generate', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80bfef0', '0x80bff81', 'gcm_iv_generate', 'local_function', 'function'), ('0x80bfef0', '0x80bff81', 'gcm_iv_generate', 'local_function', 'function'), ('0x80bfef0', '0x80bff81', 'gcm_iv_generate', 'local_function', 'function')]"
gcm_cipher_internal,"[('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function'), ('0x80bff81', '0x80c0126', 'gcm_cipher_internal', 'local_function', 'function')]"
gcm_tls_init,"[('UNKNOWN', -1), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function'), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function'), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function'), ('0x80c0126', '0x80c020e', 'gcm_tls_init', 'local_function', 'function')]"
gcm_tls_iv_set_fixed,"[('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function'), ('0x80c020e', '0x80c0313', 'gcm_tls_iv_set_fixed', 'local_function', 'function')]"
ctr64_inc,"[('0x80c0313', '0x80c0354', 'ctr64_inc', 'local_function', 'function'), ('0x80c0313', '0x80c0354', 'ctr64_inc', 'local_function', 'function')]"
gcm_tls_cipher,"[('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function'), ('0x80c0354', '0x80c062d', 'gcm_tls_cipher', 'local_function', 'function')]"
gcm_setiv,"[('UNKNOWN', -1), ('0x81558ad', '0x8155bed', 'CRYPTO_gcm128_setiv', 'local_function', 'function')]"
gcm_aad_update,"[('0x8155bed', '0x8155d9e', 'CRYPTO_gcm128_aad', 'local_function', 'function'), ('UNKNOWN', -1)]"
gcm_cipher_update,"[('UNKNOWN', -1), ('0x80c06a8', '0x80c07dd', 'gcm_cipher_update', 'local_function', 'function'), ('0x80c06a8', '0x80c07dd', 'gcm_cipher_update', 'local_function', 'function'), ('0x80c06a8', '0x80c07dd', 'gcm_cipher_update', 'local_function', 'function'), ('0x80c06a8', '0x80c07dd', 'gcm_cipher_update', 'local_function', 'function'), ('0x80c06a8', '0x80c07dd', 'gcm_cipher_update', 'local_function', 'function'), ('0x8156c52', '0x81570d6', 'CRYPTO_gcm128_decrypt_ctr32', 'local_function', 'function'), ('0x81567e1', '0x8156c52', 'CRYPTO_gcm128_encrypt_ctr32', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1)]"
gcm_cipher_final,"[('0x81570d6', '0x81573b5', 'CRYPTO_gcm128_finish', 'local_function', 'function'), ('0x81573b5', '0x815740e', 'CRYPTO_gcm128_tag', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c07dd', '0x80c0861', 'gcm_cipher_final', 'local_function', 'function'), ('0x80c07dd', '0x80c0861', 'gcm_cipher_final', 'local_function', 'function'), ('0x80c07dd', '0x80c0861', 'gcm_cipher_final', 'local_function', 'function')]"
gcm_one_shot,"[('0x80c0861', '0x80c08fc', 'gcm_one_shot', 'local_function', 'function'), ('0x80c0861', '0x80c08fc', 'gcm_one_shot', 'local_function', 'function'), ('0x80c0861', '0x80c08fc', 'gcm_one_shot', 'local_function', 'function'), ('0x80c0861', '0x80c08fc', 'gcm_one_shot', 'local_function', 'function')]"
digest_default_get_params,"[('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c08fc', '0x80c0a9a', 'digest_default_get_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c08fc', '0x80c0a9a', 'digest_default_get_params', 'local_function', 'function'), ('0x80c08fc', '0x80c0a9a', 'digest_default_get_params', 'local_function', 'function'), ('0x80c08fc', '0x80c0a9a', 'digest_default_get_params', 'local_function', 'function')]"
digest_default_gettable_params,"[('UNKNOWN', -1)]"
ossl_prov_cipher_reset,"[('0x8143263', '0x81432e4', 'EVP_CIPHER_free', 'local_function', 'function'), ('UNKNOWN', -1)]"
ossl_prov_cipher_copy,"[('0x8143230', '0x8143263', 'EVP_CIPHER_up_ref', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0af3', '0x80c0b55', 'ossl_prov_cipher_copy', 'local_function', 'function'), ('0x80c0af3', '0x80c0b55', 'ossl_prov_cipher_copy', 'local_function', 'function')]"
load_common,"[('UNKNOWN', -1), ('0x80c0b55', '0x80c0c1f', 'load_common', 'local_function', 'function'), ('UNKNOWN', -1), ('0x812a6ad', '0x812a9ec', 'ENGINE_by_id', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0b55', '0x80c0c1f', 'load_common', 'local_function', 'function'), ('0x80c0b55', '0x80c0c1f', 'load_common', 'local_function', 'function'), ('0x80c0b55', '0x80c0c1f', 'load_common', 'local_function', 'function'), ('0x80c0b55', '0x80c0c1f', 'load_common', 'local_function', 'function')]"
ossl_prov_cipher_load_from_params,"[('UNKNOWN', -1), ('0x80c0c1f', '0x80c0cfc', 'ossl_prov_cipher_load_from_params', 'local_function', 'function'), ('0x80c0c1f', '0x80c0cfc', 'ossl_prov_cipher_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0c1f', '0x80c0cfc', 'ossl_prov_cipher_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0c1f', '0x80c0cfc', 'ossl_prov_cipher_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0c1f', '0x80c0cfc', 'ossl_prov_cipher_load_from_params', 'local_function', 'function'), ('0x81431cb', '0x8143230', 'EVP_CIPHER_fetch', 'local_function', 'function')]"
ossl_prov_cipher_cipher,[]
ossl_prov_cipher_engine,[]
ossl_prov_digest_reset,"[('UNKNOWN', -1), ('UNKNOWN', -1)]"
ossl_prov_digest_copy,"[('0x80c0d54', '0x80c0db6', 'ossl_prov_digest_copy', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0d54', '0x80c0db6', 'ossl_prov_digest_copy', 'local_function', 'function')]"
ossl_prov_digest_load_from_params,"[('UNKNOWN', -1), ('0x80c0db6', '0x80c0e93', 'ossl_prov_digest_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0db6', '0x80c0e93', 'ossl_prov_digest_load_from_params', 'local_function', 'function'), ('0x80c0db6', '0x80c0e93', 'ossl_prov_digest_load_from_params', 'local_function', 'function'), ('0x80c0db6', '0x80c0e93', 'ossl_prov_digest_load_from_params', 'local_function', 'function'), ('0x80c0db6', '0x80c0e93', 'ossl_prov_digest_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1)]"
ossl_prov_digest_md,[]
ossl_prov_digest_engine,[]
ossl_prov_macctx_load_from_params,"[('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function'), ('UNKNOWN', -1), ('0x80c0ea8', '0x80c1291', 'ossl_prov_macctx_load_from_params', 'local_function', 'function')]"
sub_80c1291,[]
sub_80c129f,[]
_x86_AES_encrypt_compact,[]
sub_80c1615,[]
_sse_AES_encrypt_compact,[]
